                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.66935,                0.37189,                 1.0079,                0.95033,                0.94632,                0.95819,                 0.8001,                0.75248,                0.37692,                 1.1209,             0.00023525,             0.00023525,             0.00023525
                     84,                0.66583,                0.37501,                 1.0039,                 0.9522,                0.94589,                0.96415,                0.80106,                0.75121,                0.37033,                 1.1166,             0.00022288,             0.00022288,             0.00022288
                     85,                0.66437,                0.38479,                0.99889,                0.94887,                0.95159,                 0.9632,                0.79676,                0.75639,                0.37392,                 1.1179,              0.0002105,              0.0002105,              0.0002105
                     86,                0.65633,                0.36921,                 1.0024,                0.94588,                0.95466,                0.96322,                0.80157,                 0.7511,                0.36846,                 1.1183,             0.00019813,             0.00019813,             0.00019813
                     87,                0.66496,                0.37681,                0.99587,                0.94932,                0.94389,                0.95983,                 0.7969,                0.75749,                0.36667,                 1.1194,             0.00018575,             0.00018575,             0.00018575
                     88,                0.65173,                0.38635,                 0.9972,                0.94843,                0.94804,                0.96156,                0.79956,                 0.7506,                0.36939,                  1.114,             0.00017338,             0.00017338,             0.00017338
                     89,                0.65998,                0.38438,                0.99729,                0.94512,                0.95073,                0.96103,                0.79915,                0.75228,                0.36912,                  1.116,               0.000161,               0.000161,               0.000161
                     90,                0.65404,                0.36741,                0.99821,                0.94437,                0.95026,                0.95969,                0.79908,                0.75244,                0.37145,                 1.1182,             0.00014862,             0.00014862,             0.00014862
                     91,                0.60955,                0.32133,                0.96596,                0.93916,                 0.9533,                0.96442,                0.79967,                0.75246,                0.36703,                 1.1186,             0.00013625,             0.00013625,             0.00013625
                     92,                0.59537,                 0.3017,                0.95611,                0.94646,                0.94636,                0.96502,                0.80411,                0.74912,                0.36751,                 1.1098,             0.00012387,             0.00012387,             0.00012387
                     93,                0.59395,                0.30474,                0.95034,                0.94816,                0.94673,                0.96352,                0.79523,                0.75611,                0.36711,                  1.115,              0.0001115,              0.0001115,              0.0001115
                     94,                0.58899,                0.30398,                0.95769,                 0.9398,                0.95263,                0.96047,                0.79839,                 0.7552,                0.36846,                  1.118,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.58691,                 0.2991,                0.95464,                0.94816,                0.94853,                0.96354,                0.80021,                0.74717,                 0.3684,                 1.1138,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.57914,                0.31312,                  0.947,                 0.9469,                0.95016,                0.96281,                0.80072,                0.74747,                0.36761,                 1.1162,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.58243,                0.29526,                0.94633,                0.94597,                0.94495,                0.96198,                0.79711,                0.74751,                0.37178,                  1.114,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.57489,                0.29134,                0.94512,                0.95066,                0.94517,                0.96319,                0.80131,                0.74729,                0.37073,                 1.1122,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.57975,                0.30264,                0.94976,                0.94787,                0.94276,                0.96225,                0.80032,                0.74915,                0.36919,                 1.1155,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.57405,                0.28939,                0.94214,                0.95269,                0.94225,                0.96332,                0.80115,                0.74944,                0.36822,                 1.1168,             2.4875e-05,             2.4875e-05,             2.4875e-05
